"price";"from";"to";"image";"company";"url";"departure_date"
3447.0;" Paraíba ";" Dallas ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/dallas-arts-district-estados-unidos.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=04-08-2017&Data=25-08-2017&Destino=DFW&Destino=JPA&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Origem=DFW&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-08-04"
3363.0;" Brasília ";" Cape Town ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/cidade-do-cabo-table-mountain-africa-do-sul.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=04-12-2017&Data=11-12-2017&Destino=CPT&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=CPT&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-12-04"
546.0;" Brasília ";" Campina Grande ";" http://ofertas.submarinoviagens.com.br/Marketing/genericas/1200x628/generico_aviao1.jpg ";" Azul ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=24-05-2017&Destino=CPV&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=2&NumCHD=0&NumINF=1&Origem=BSB&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=true&searchtype=Air ";"2017-05-24"
3586.0;" Brasília ";" Copenhagen ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/copenhague-nyhavn-dinamarca.jpg ";" American  ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=23-01-2018&Data=08-02-2018&Destino=CPH&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=CPH&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2018-01-23"
3212.0;" Brasília ";" Caracas ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/caracas-venezuela.jpg ";" Copa  ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=12-07-2017&Data=31-07-2017&Destino=CCS&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=CCS&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-07-12"
3838.0;" Brasília ";" Cairo ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/cairo-cidadela-saladino-egito.jpg ";" Ethiopian ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=04-10-2017&Data=14-10-2017&Destino=CAI&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=CAI&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-10-04"
4524.0;" Cuiabá ";" Quito ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/quito-cotopaxi-equador.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=02-09-2017&Data=09-09-2017&Destino=UIO&Destino=CGB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=CGB&Origem=UIO&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-09-02"
218.0;" Brasília ";" Campo Grande ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/campo-grande-lago-prosa-parque-das-nacoes-indigenas-mato-grosso-do-sul.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=09-08-2017&Data=13-08-2017&Destino=CGR&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=2&NumCHD=0&NumINF=0&Origem=BSB&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-08-09"
181.0;" Brasília ";" Cuiabá ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/cuiaba-mato-grosso.jpg ";" Azul ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=28-06-2017&Destino=CGB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=2&NumCHD=0&NumINF=0&Origem=BSB&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-06-28"
581.0;" Belo Horizonte ";" Juazeiro do Norte ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/juazeiro-do-norte-estatua-padre-cicero-ceara.jpg ";" Azul ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=13-06-2017&Destino=JDO&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=CNF&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-06-13"
